1	Founder	Top Learner	12
2	Employee	Top Learner	13
40	\N	\N	51
3	Employee	Top Learner	14
4	Employee	Top Learner	15
5	Employee	Top Learner	16
20	Intern	Schools & ECD Intern	31
6	Employee	Top Learner	17
7	Employee	Top Learner	18
8	Employee	Top Learner	19
9	Employee	Top Learner	20
12	Mentor	Yebo	23
19	Mentor	Schools & ECD	30
27	Mentor	Schools & ECD Rural	38
22	Mentor	Schools & ECD	33
35	Project Manager	Data Team	46
14	Mentor	Zazi	25
34	Employee	Data Team	45
15	Mentor	Zazi	26
37	Employee	Data Team	48
16	Mentor	Zazi	27
17	Mentor	Zazi	28
18	Mentor	Zazi	29
10	Mentor	Yebo	21
41	\N	\N	1
13	Mentor	Zazi	24
28	Intern	Schools & ECD Intern	39
29	Intern	Schools & ECD Intern	40
30	Finance Manager	HR & Finance	41
21	Project Manager	Schools & ECD	32
31	Finance Manager	HR & Finance	42
32	Intern	HR & Finance	43
33	Employee	Marketing	44
36	Employee	Data Team	47
38	Employee	Data Team	49
39	Employee	Office Operations	50
24	Mentor	Schools & ECD	35
23	Intern	Schools & ECD Intern	34
11	Mentor	Yebo	22
25	Mentor	Schools & ECD	36
26	Mentor	Schools & ECD Rural	37
\.


